識別碼,性別,月_03,月_06,月_12,月_18,月_24
S1001,女,16,15,34,48,48
S1002,男,15,30,33,33,45
S1003,男,18,18,31,39,39
S1004,女,17,18,36,52,54
S1005,男,16,21,30,39,44
S1006,女,17,21,31,33,40
S1007,女,15,19,25,26,34
S1008,女,15,16,37,42,51
S1009,女,15,15,21,31,43
S1010,女,15,16,24,31,39
S1011,男,16,16,35,37,46
S1012,男,18,17,21,45,52
S1013,男,16,18,29,34,49
S1014,女,16,16,28,44,50
S1015,女,15,15,25,33,47
S1016,男,17,15,25,37,47
S1017,男,19,22,30,37,50
S1018,女,16,22,36,47,60
S1019,女,16,24,30,49,59
S1020,男,15,15,25,28,39
S1021,女,16,17,31,39,50
S1022,男,21,21,29,44,50
S1023,女,15,16,18,29,30
S1024,女,18,16,23,42,45
S1025,男,15,15,19,30,45
S1026,女,15,18,35,40,47
S1027,女,15,17,23,36,43
S1028,女,18,20,33,46,51
S1029,女,20,21,25,36,48
S1030,女,15,19,31,44,48
S1031,男,15,15,25,25,47
S1032,男,16,19,23,36,47
S1033,女,15,19,28,38,52
S1034,女,18,19,21,35,47
S1035,女,19,20,32,40,54
S1036,男,15,17,21,34,38
S1037,女,17,19,25,34,39
S1038,男,15,15,26,34,41
S1039,女,15,15,25,37,44
S1040,男,15,21,32,47,55
S1041,男,19,22,30,42,47
S1042,男,15,15,27,37,42
S1043,男,15,19,26,34,49
S1044,男,15,15,37,41,51
S1045,男,16,16,27,39,51
S1046,男,15,20,30,37,40
S1047,男,17,18,37,54,45
S1048,女,16,16,28,47,60
S1049,女,16,21,29,38,51
S1050,女,19,22,26,46,56
S1051,女,17,15,26,33,50
S1052,男,15,15,32,35,43
S1053,女,15,16,28,27,28
S1054,女,17,25,36,39,48
S1055,男,19,27,31,46,53
S1056,男,16,17,26,32,46
S1057,男,16,18,25,36,47
S1058,男,19,22,28,40,53
S1059,男,16,16,21,30,37
S1060,女,26,28,39,51,58
S1061,女,21,31,39,48,58
S1062,女,18,17,19,23,33
S1063,女,18,20,32,36,50
S1064,男,19,20,27,31,42
S1065,女,19,21,32,52,57
S1066,男,18,19,29,38,48
S1067,男,28,24,35,46,57
S1068,男,16,20,27,35,50
S1069,女,15,22,27,32,46
S1070,女,15,17,22,35,41
S1071,女,21,26,28,49,57
S1072,男,16,18,31,39,57
S1073,男,18,16,23,27,39
S1074,女,15,17,30,42,44
S1075,男,17,20,41,51,54
S1076,男,15,15,27,39,48
S1077,女,17,23,32,41,58
S1078,男,15,15,19,30,34
S1079,男,18,19,29,41,55
S1080,女,17,21,39,47,58
S1081,男,20,22,31,31,50
S1082,女,16,16,23,31,36
S1083,女,17,20,33,50,55
S1084,男,17,22,24,38,38
S1085,男,18,18,25,26,28
S1086,女,16,19,31,44,50
S1087,男,17,19,21,29,30
S1088,女,18,17,24,35,51
S1089,女,15,15,24,23,38
S1090,男,18,21,22,26,34
S1091,男,18,15,28,27,39
S1092,男,16,21,39,36,43
S1093,男,17,19,22,26,42
S1094,男,18,17,35,43,53
S1095,男,23,25,33,40,47
S1096,男,22,23,27,33,50
S1097,女,19,21,28,35,55
S1098,女,15,24,31,41,58
S1099,女,15,17,26,28,44
S1100,女,16,17,25,43,51
S1101,女,16,17,32,34,35
S1102,男,17,19,29,48,60
S1103,女,16,17,22,30,50
S1104,男,18,25,34,34,42
S1105,男,17,21,26,31,41
S1106,男,18,24,22,41,52
S1107,女,16,17,34,48,57
S1108,女,19,17,28,50,49
S1109,女,18,21,25,37,43
S1110,男,15,16,32,29,54
S1111,男,20,18,28,35,40
S1112,女,16,17,39,41,54
S1113,男,15,18,29,37,45
S1114,男,15,15,27,34,43
S1115,男,18,21,30,44,53
S1116,男,16,18,22,32,44
S1117,女,15,15,21,30,40
S1118,女,18,16,33,37,50
S1119,男,15,15,21,33,47
S1120,男,16,21,29,42,47
S1121,男,17,18,28,38,44
S1122,女,15,20,22,38,47
S1123,女,17,19,22,40,46
S1124,女,20,25,44,54,59
S1125,男,15,17,23,35,42
S1126,女,15,15,23,44,58
S1127,女,21,28,35,48,56
S1128,男,17,21,31,45,49
S1129,男,17,18,39,50,60
S1130,男,15,16,29,31,48
S1131,男,16,19,28,37,28
S1132,男,18,20,29,40,47
S1133,女,17,18,35,48,50
S1134,女,19,19,34,38,52
S1135,女,18,20,26,45,50
S1136,男,15,15,19,29,34
S1137,女,19,20,36,51,59
S1138,女,16,15,24,37,46
S1139,男,18,22,34,42,52
S1140,女,18,18,28,44,53
S1141,女,16,18,24,42,52
S1142,女,15,15,23,38,54
S1143,女,18,23,29,41,50
S1144,女,17,17,27,35,38
S1145,男,15,15,28,32,43
S1146,男,17,18,30,42,51
S1147,男,18,20,27,41,49
S1148,女,19,24,34,37,54
S1149,女,15,15,24,26,29
S1150,女,18,17,37,44,57
S1151,女,16,15,31,39,40
S1152,女,15,17,31,53,60
S1153,男,19,22,30,37,41
S1154,女,16,17,30,45,46
S1155,男,15,16,20,29,42
S1156,男,18,16,28,35,36
S1157,男,16,19,24,34,36
S1158,女,15,17,29,39,54
S1159,男,21,21,22,35,46
S1160,男,15,17,27,35,38
S1161,女,17,16,28,35,52
S1162,男,16,19,30,35,41
S1163,男,16,20,26,35,40
S1164,女,17,15,31,35,46
S1165,男,17,19,23,30,39
S1166,男,18,19,26,30,37
S1167,女,17,19,36,51,58
S1168,女,15,15,28,34,35
S1169,男,15,15,20,33,46
S1170,男,16,23,32,37,46
S1171,男,16,22,27,46,45
S1172,男,15,16,28,28,36
S1173,男,18,17,28,40,41
S1174,男,19,23,30,45,56
S1175,男,16,16,22,25,38
S1176,女,19,17,25,26,41
S1177,女,15,17,27,35,50
S1178,女,15,23,28,43,57
S1179,男,16,16,30,32,41
S1180,男,17,16,33,36,44
S1181,男,18,18,32,39,49
S1182,男,17,16,22,32,54
S1183,女,24,29,32,48,58
S1184,女,15,17,31,38,46
S1185,女,15,17,31,40,56
S1186,女,16,18,28,34,48
S1187,男,16,21,27,34,43
S1188,女,17,19,28,44,49
S1189,男,16,24,37,39,42
S1190,女,15,15,20,34,52
S1191,男,15,17,19,38,45
S1192,女,17,18,34,40,53
S1193,女,20,18,33,44,54
S1194,男,17,22,34,50,50
S1195,男,18,19,32,37,51
S1196,男,19,17,28,37,49
S1197,女,15,18,26,45,57
S1198,女,17,17,25,40,45
S1199,女,17,18,31,33,51
S1200,男,15,15,26,47,58
S1201,男,22,27,31,33,59
S1202,男,16,16,30,34,50
S1203,女,18,18,25,30,50
S1204,女,15,15,23,42,52
S1205,男,24,23,26,41,51
S1206,男,24,17,27,38,39
S1207,男,15,15,32,38,47
S1208,女,15,21,29,42,53
S1209,女,20,20,36,44,56
S1210,男,15,17,26,39,52
S1211,男,15,15,20,26,27
S1212,男,22,21,31,35,34
S1213,女,15,18,32,37,53
S1214,男,16,17,28,34,48
S1215,男,15,17,24,30,37
S1216,男,15,15,36,45,51
S1217,女,16,22,42,49,53
S1218,男,15,18,17,41,49
S1219,男,16,19,29,38,52
S1220,男,17,15,28,33,35
S1221,男,17,18,32,40,54
S1222,男,17,19,29,43,54
S1223,女,15,15,27,31,38
S1224,女,18,19,29,34,43
S1225,男,15,15,19,29,40
S1226,男,15,17,24,30,32
S1227,女,15,15,24,31,43
S1228,女,15,16,29,38,43
S1229,男,18,21,36,36,50
S1230,男,18,19,25,40,42
S1231,男,15,16,26,30,38
S1232,男,16,21,29,34,47
S1233,女,16,18,26,34,45
S1234,男,15,15,30,34,43
S1235,男,15,16,28,34,50
S1236,男,19,24,32,43,47
S1237,男,22,30,40,44,52
S1238,男,16,18,30,38,50
S1239,男,22,21,36,42,54
S1240,男,18,19,28,47,46
S1241,男,17,19,26,29,39
S1242,女,16,18,28,35,48
S1243,女,15,15,21,37,53
S1244,男,16,19,27,38,44
S1245,男,16,15,27,44,54
S1246,男,15,17,33,38,51
S1247,女,16,17,25,39,46
S1248,女,15,20,32,45,53
S1249,女,17,17,33,43,47
S1250,男,18,21,33,36,39
S1251,女,16,18,27,38,46
S1252,男,15,18,23,40,46
S1253,男,15,21,36,40,51
S1254,男,16,24,32,38,40
S1255,女,18,19,26,31,54
S1256,男,19,17,34,40,56
S1257,男,16,18,26,39,51
S1258,男,15,17,35,41,51
S1259,女,15,16,35,38,55
S1260,男,23,30,34,34,47
S1261,男,17,18,22,35,52
S1262,男,16,15,17,26,35
S1263,女,17,19,39,45,57
S1264,女,19,21,34,41,48
S1265,女,15,16,31,43,53
S1266,男,15,16,35,46,55
S1267,女,15,17,29,38,42
S1268,男,16,19,24,37,55
S1269,男,15,16,34,40,48
S1270,男,15,19,29,37,40
S1271,男,19,21,29,33,51
S1272,男,19,19,26,34,38
S1273,男,16,16,26,48,38
S1274,男,15,18,29,32,45
S1275,女,17,22,22,48,36
S1276,女,17,16,35,40,54
S1277,男,19,16,33,32,36
S1278,男,18,17,29,29,50
S1279,女,16,19,24,35,43
S1280,男,21,19,28,32,35
S1281,男,15,17,25,37,43
S1282,女,15,16,26,37,42
S1283,女,15,18,28,27,43
S1284,女,19,33,37,53,60
S1285,男,17,17,32,45,34
S1286,女,15,16,25,36,57
S1287,男,20,25,34,51,50
S1288,女,21,21,31,38,51
S1289,男,18,21,34,44,56
S1290,女,15,17,21,30,33
S1291,女,15,15,24,25,41
S1292,女,16,23,31,44,51
S1293,女,16,17,22,30,38
S1294,男,23,21,29,31,53
S1295,男,15,15,25,40,56
S1296,女,19,21,29,30,38
S1297,女,17,19,28,37,47
S1298,男,18,17,25,37,41
S1299,男,15,16,24,28,39
S1300,女,15,17,36,39,56
S1301,女,17,18,29,42,54
S1302,男,15,21,20,29,44
S1303,男,15,15,32,37,49
S1304,女,15,16,29,35,50
S1305,男,15,15,36,38,43
S1306,男,16,16,25,35,42
S1307,女,15,17,28,32,46
S1308,男,16,16,29,36,46
S1309,男,16,21,21,35,38
S1310,女,16,20,34,31,39
S1311,女,16,16,22,35,49
S1312,男,17,18,33,31,39
S1313,女,21,25,32,47,52
S1314,女,15,18,33,47,55
S1315,男,15,18,25,39,53
S1316,女,15,15,27,35,46
S1317,男,17,22,32,47,58
S1318,男,18,17,24,34,40
S1319,男,15,16,21,30,36
S1320,女,15,17,31,43,58
S1321,女,19,22,36,57,57
S1322,女,15,18,31,34,40
S1323,男,16,19,25,30,43
S1324,女,16,18,33,43,54
S1325,女,18,23,32,35,49
S1326,女,17,16,17,27,35
S1327,男,16,17,31,34,52
S1328,男,16,17,30,34,46
S1329,男,16,17,24,31,37
S1330,男,22,24,35,41,54
S1331,男,15,17,30,37,54
S1332,女,15,17,33,39,46
S1333,女,16,18,24,38,49
S1334,女,19,23,33,44,51
S1335,女,18,18,25,34,51
S1336,男,15,18,21,27,38
S1337,男,15,16,21,32,44
S1338,女,15,17,22,32,37
S1339,女,17,18,22,38,49
S1340,男,21,25,29,42,51
S1341,男,18,19,32,30,34
S1342,男,15,17,21,33,47
S1343,女,16,16,27,30,39
S1344,男,17,17,29,38,46
S1345,男,16,18,35,44,45
S1346,女,16,19,26,50,51
S1347,女,16,16,28,35,44
S1348,男,16,16,21,23,39
S1349,女,16,26,27,46,43
S1350,男,18,24,38,57,59
S1351,女,15,17,30,42,51
S1352,男,15,24,25,47,54
S1353,男,17,16,25,32,39
S1354,男,16,19,33,36,44
S1355,男,15,15,19,25,33
S1356,男,15,15,31,36,44
S1357,女,18,18,25,41,51
S1358,男,15,17,26,40,52
S1359,女,16,18,22,34,29
S1360,女,15,19,23,33,49
S1361,女,16,22,33,43,57
S1362,男,19,17,26,31,49
S1363,男,18,18,28,39,60
S1364,女,16,15,26,28,39
S1365,男,15,19,27,43,46
S1366,男,16,19,24,34,48
S1367,女,21,21,32,41,54
S1368,男,18,22,31,36,40
S1369,男,17,18,35,44,59
S1370,男,16,18,23,31,36
S1371,女,18,20,25,39,47
S1372,女,15,19,31,40,50
S1373,女,15,18,33,42,52
S1374,男,17,20,29,45,58
S1375,男,17,17,30,38,48
S1376,男,16,15,29,32,41
S1377,女,19,21,29,39,51
S1378,男,15,18,33,36,48
S1379,男,17,22,34,38,47
S1380,男,15,16,23,29,30
S1381,女,21,25,32,48,50
S1382,男,16,18,24,37,47
S1383,男,15,17,31,47,56
S1384,女,18,18,36,44,56
S1385,女,15,18,27,36,37
S1386,男,17,23,30,32,53
S1387,男,15,16,29,35,50
S1388,女,15,18,24,45,52
S1389,男,16,15,28,33,45
S1390,女,15,15,18,31,42
S1391,男,15,15,24,39,47
S1392,女,15,20,30,47,57
S1393,男,15,18,27,35,40
S1394,女,15,15,20,31,40
S1395,男,15,15,25,27,45
S1396,男,16,16,23,34,50
S1397,男,15,16,27,43,51
S1398,男,22,20,31,35,44
S1399,男,17,18,25,40,45
S1400,男,15,18,31,31,42
S1401,男,15,18,20,29,32
S1402,男,17,16,31,34,44
S1403,女,15,16,23,35,43
S1404,男,17,16,26,29,40
S1405,男,16,16,25,34,40
S1406,男,15,15,27,37,49
S1407,女,15,17,28,33,46
S1408,女,16,18,31,43,56
S1409,男,18,20,31,37,51
S1410,男,17,21,28,36,41
S1411,女,18,19,32,44,55
S1412,男,17,25,33,38,52
S1413,男,16,17,28,34,40
S1414,男,18,18,21,30,38
S1415,男,16,18,29,37,42
S1416,女,15,18,30,41,39
S1417,男,19,21,26,49,57
S1418,女,15,16,23,42,51
S1419,男,17,18,31,35,39
S1420,男,16,18,29,42,54
S1421,女,17,16,24,32,43
S1422,男,15,15,29,42,39
S1423,男,15,18,36,40,54
S1424,女,17,22,26,40,46
S1425,女,16,21,32,40,49
S1426,女,19,22,33,50,57
S1427,女,19,23,32,40,49
S1428,男,20,23,31,37,50
S1429,女,16,17,23,31,41
S1430,女,15,15,25,31,35
S1431,女,16,21,25,32,36
S1432,女,18,19,30,44,54
S1433,女,21,18,35,49,45
S1434,女,15,20,30,43,57
S1435,女,16,16,24,32,33
S1436,女,15,15,32,30,41
S1437,女,16,21,31,38,47
S1438,女,18,21,35,46,56
S1439,女,16,19,24,36,53
S1440,女,15,17,29,41,54
S1441,女,15,21,28,39,55
S1442,女,15,15,26,35,35
S1443,男,17,20,30,40,49
S1444,男,18,19,25,36,48
S1445,女,15,15,26,40,40
S1446,女,20,21,27,38,48
S1447,男,16,20,22,32,32
S1448,男,18,20,31,34,47
S1449,女,17,18,27,33,48
S1450,女,15,18,26,35,47
S1451,男,17,16,23,35,42
S1452,女,16,15,29,36,50
S1453,女,20,22,29,35,40
S1454,男,18,21,30,44,54
S1455,男,17,17,21,34,55
S1456,男,16,16,28,32,48
S1457,男,16,20,36,39,49
S1458,男,15,18,26,38,50
S1459,男,19,20,31,33,44
S1460,女,16,15,29,39,55
S1461,男,15,16,29,34,43
S1462,女,18,17,24,28,42
S1463,女,15,19,30,47,56
S1464,女,17,20,23,39,48
S1465,女,19,21,28,47,57
S1466,女,15,19,24,39,47
S1467,女,15,18,30,37,51
S1468,女,16,18,30,29,32
S1469,女,15,17,25,39,48
S1470,男,18,16,33,45,50
S1471,男,16,17,32,40,55
S1472,女,17,18,35,47,58
S1473,女,16,17,25,38,46
S1474,男,15,16,19,34,39
S1475,女,21,20,28,47,52
S1476,男,21,21,36,38,50
S1477,男,16,15,31,39,52
