識別碼,母親教育程度,月_03,月_06,月_12,月_18,月_24
S1001,大學以上,20,32,51,52,63
S1002,大學以上,22,29,36,54,65
S1003,大學以上,20,28,48,58,72
S1004,專科以下,26,29,53,62,68
S1005,大學以上,28,35,58,65,70
S1006,大學以上,25,31,45,54,68
S1007,專科以下,30,35,58,58,67
S1008,大學以上,27,33,57,62,67
S1009,大學以上,29,32,48,62,75
S1010,專科以下,22,30,52,55,59
S1011,專科以下,30,31,55,54,71
S1012,大學以上,24,27,54,56,67
S1013,大學以上,31,32,65,73,78
S1014,大學以上,24,26,58,60,62
S1015,大學以上,21,26,46,50,50
S1016,專科以下,25,28,40,54,55
S1017,大學以上,29,35,56,67,65
S1018,專科以下,25,32,57,58,69
S1019,大學以上,29,35,58,63,70
S1020,大學以上,23,37,54,67,70
S1021,專科以下,22,30,51,56,66
S1022,專科以下,33,35,55,60,63
S1023,專科以下,26,32,56,59,66
S1024,專科以下,24,29,40,49,54
S1025,大學以上,22,29,44,54,66
S1026,專科以下,26,27,51,56,63
S1027,專科以下,24,32,58,60,71
S1028,專科以下,24,36,55,65,67
S1029,大學以上,22,24,38,58,62
S1030,專科以下,24,34,52,60,70
S1031,大學以上,29,35,60,63,65
S1032,大學以上,21,22,45,57,79
S1033,大學以上,27,35,59,61,65
S1034,專科以下,23,29,53,65,76
S1035,專科以下,22,35,47,52,58
S1036,專科以下,21,25,52,58,68
S1037,大學以上,24,31,53,60,54
S1038,大學以上,22,26,46,52,61
S1039,專科以下,28,33,34,55,64
S1040,大學以上,33,38,60,63,68
S1041,大學以上,27,34,53,65,70
S1042,大學以上,24,34,54,59,74
S1043,大學以上,24,32,41,55,60
S1044,大學以上,31,36,58,60,69
S1045,專科以下,34,34,57,59,65
S1046,大學以上,27,34,52,60,63
S1047,大學以上,23,33,59,60,77
S1048,大學以上,30,31,52,59,60
S1049,大學以上,27,33,57,58,66
S1050,大學以上,23,32,45,60,60
S1051,大學以上,21,28,44,59,60
S1052,專科以下,22,30,56,65,62
S1053,大學以上,23,30,52,56,68
S1054,大學以上,24,33,53,58,73
S1055,專科以下,25,30,58,64,75
S1056,大學以上,26,31,53,61,62
S1057,大學以上,22,31,57,58,60
S1058,專科以下,24,32,50,57,59
S1059,大學以上,33,33,53,57,63
S1060,大學以上,25,33,59,62,71
S1061,專科以下,26,30,35,47,52
S1062,專科以下,30,35,49,63,60
S1063,專科以下,26,35,57,63,69
S1064,大學以上,24,33,50,61,66
S1065,專科以下,26,33,53,62,63
S1066,大學以上,22,31,57,61,79
S1067,大學以上,24,32,52,61,61
S1068,專科以下,26,34,51,59,60
S1069,大學以上,28,32,50,65,68
S1070,大學以上,23,29,53,57,67
S1071,專科以下,23,32,56,60,67
S1072,大學以上,25,32,53,59,62
S1073,專科以下,24,27,59,62,62
S1074,大學以上,23,27,53,47,52
S1075,專科以下,28,37,57,65,66
S1076,大學以上,29,30,57,61,68
S1077,大學以上,29,35,53,58,64
S1078,專科以下,27,33,46,56,56
S1079,專科以下,22,28,42,44,54
S1080,大學以上,23,31,59,59,66
S1081,專科以下,21,26,51,59,61
S1082,大學以上,27,38,60,59,65
S1083,大學以上,22,25,53,60,74
S1084,大學以上,21,24,39,50,64
S1085,專科以下,28,29,51,51,53
S1086,大學以上,24,30,49,52,65
S1087,大學以上,23,31,58,62,68
S1088,大學以上,24,29,52,62,68
S1089,專科以下,23,27,35,48,64
S1090,大學以上,23,34,51,56,59
S1091,專科以下,22,32,56,56,64
S1092,大學以上,22,24,50,56,63
S1093,大學以上,28,35,55,62,78
S1094,大學以上,27,29,53,63,67
S1095,大學以上,27,35,48,51,65
S1096,專科以下,25,35,51,59,68
S1097,專科以下,27,34,53,62,66
S1098,專科以下,23,24,47,56,63
S1099,大學以上,23,37,38,54,76
S1100,專科以下,25,34,54,67,64
S1101,大學以上,21,30,53,65,73
S1102,大學以上,25,25,33,44,55
S1103,大學以上,22,31,51,62,68
S1104,專科以下,28,31,57,59,66
S1105,大學以上,24,30,52,61,71
S1106,大學以上,23,29,57,59,72
S1107,大學以上,29,33,59,77,75
S1108,大學以上,22,29,37,62,71
S1109,大學以上,25,28,43,55,59
S1110,大學以上,26,32,53,56,74
S1111,大學以上,31,35,56,65,62
S1112,大學以上,27,31,52,59,68
S1113,大學以上,23,34,48,66,79
S1114,大學以上,30,33,58,61,74
S1115,大學以上,28,35,57,65,64
S1116,大學以上,25,30,54,60,74
S1117,大學以上,25,32,56,59,62
S1118,專科以下,20,33,58,65,62
S1119,大學以上,25,33,58,58,66
S1120,大學以上,29,37,50,59,61
S1121,專科以下,24,27,51,59,67
S1122,大學以上,28,33,52,61,64
S1123,大學以上,33,34,57,61,72
S1124,大學以上,22,31,58,62,62
S1125,大學以上,28,32,49,56,68
S1126,專科以下,33,38,57,62,63
S1127,專科以下,24,28,56,61,69
S1128,專科以下,26,29,60,60,75
S1129,專科以下,27,28,53,54,64
S1130,大學以上,23,25,49,56,66
S1131,專科以下,24,26,60,65,70
S1132,大學以上,34,35,64,66,72
S1133,大學以上,28,30,44,55,60
S1134,專科以下,26,33,56,61,69
S1135,大學以上,26,25,49,59,64
S1136,專科以下,33,34,46,61,64
S1137,專科以下,24,31,45,58,67
S1138,大學以上,23,29,52,58,67
S1139,大學以上,24,31,40,54,62
S1140,專科以下,25,29,57,59,71
S1141,大學以上,26,36,49,54,54
S1142,專科以下,30,35,48,60,64
S1143,大學以上,26,30,55,59,72
S1144,大學以上,30,29,60,63,77
S1145,大學以上,22,30,56,59,61
S1146,專科以下,29,32,48,50,59
S1147,大學以上,22,36,54,63,78
S1148,大學以上,29,29,57,69,79
S1149,專科以下,23,31,49,61,68
S1150,大學以上,26,30,54,62,69
S1151,大學以上,22,34,55,61,70
S1152,專科以下,24,31,44,57,59
S1153,專科以下,23,26,39,53,60
S1154,專科以下,20,24,52,58,60
S1155,大學以上,27,32,58,65,72
S1156,專科以下,27,29,50,54,63
S1157,大學以上,25,32,57,60,64
S1158,大學以上,23,29,49,66,78
S1159,大學以上,24,32,53,58,74
S1160,大學以上,21,29,54,61,62
S1161,專科以下,32,38,62,65,76
S1162,大學以上,28,37,53,59,69
S1163,大學以上,26,31,55,58,70
S1164,專科以下,22,32,47,57,58
S1165,專科以下,28,37,54,49,68
S1166,大學以上,23,30,55,63,67
S1167,大學以上,24,30,52,60,62
S1168,專科以下,22,30,42,57,61
S1169,大學以上,29,32,55,62,63
S1170,大學以上,25,32,53,58,72
S1171,大學以上,22,28,45,49,57
