學生,老師,學校,性別,書本數,女性比率,社經地位,閱讀成績
   1,  101,  1,男,18,0.5,差不多,613.10977
   2,  101,  1,男,5,0.5,差不多,610.74641
   3,  101,  1,男,63,0.5,差不多,534.70727
   4,  101,  1,男,251,0.5,差不多,613.58629
   5,  101,  1,男,5,0.5,差不多,654.2875
   6,  101,  1,男,18,0.5,差不多,680.91049
   7,  101,  1,男,63,0.5,差不多,587.16539
   8,  101,  1,男,251,0.5,差不多,535.11018
   9,  101,  1,男,63,0.5,差不多,504.12205
  10,  101,  1,男,151,0.5,差不多,492.27957
  11,  101,  1,男,63,0.5,差不多,602.77904
  12,  101,  1,男,63,0.5,差不多,486.35803
  13,  101,  1,男,18,0.5,差不多,592.62296
  14,  101,  1,女,63,0.5,差不多,506.68807
  15,  101,  1,女,18,0.5,差不多,509.12774
  16,  101,  1,女,151,0.5,差不多,635.6233
  17,  101,  1,女,63,0.5,差不多,588.46878
  18,  101,  1,女,63,0.5,差不多,600.36999
  19,  101,  1,女,63,0.5,差不多,403.96403
  20,  101,  1,女,63,0.5,差不多,478.47683
  21,  101,  1,女,63,0.5,差不多,637.36872
  22,  101,  1,女,63,0.5,差不多,546.48561
  23,  101,  1,女,63,0.5,差不多,527.91829
  24,  101,  1,女,18,0.5,差不多,666.53106
  26,  101,  1,女,5,0.5,差不多,543.2693
  27,  101,  1,女,151,0.5,差不多,590.33002
  28,  102,  1,男,251,0.518518518518518,差不多,589.05909
  29,  102,  1,男,5,0.518518518518518,差不多,465.50676
  30,  102,  1,男,63,0.518518518518518,差不多,540.0269
  31,  102,  1,男,63,0.518518518518518,差不多,483.92841
  32,  102,  1,男,63,0.518518518518518,差不多,611.91409
  33,  102,  1,男,63,0.518518518518518,差不多,547.95061
  34,  102,  1,男,151,0.518518518518518,差不多,547.1078
  35,  102,  1,男,251,0.518518518518518,差不多,660.28525
  36,  102,  1,男,63,0.518518518518518,差不多,639.19026
  37,  102,  1,男,18,0.518518518518518,差不多,546.17641
  38,  102,  1,男,5,0.518518518518518,差不多,538.49177
  39,  102,  1,男,5,0.518518518518518,差不多,597.19628
  40,  102,  1,男,251,0.518518518518518,差不多,565.33143
  41,  102,  1,女,151,0.518518518518518,差不多,663.49393
  42,  102,  1,女,63,0.518518518518518,差不多,532.34401
  43,  102,  1,女,18,0.518518518518518,差不多,562.35574
  44,  102,  1,女,5,0.518518518518518,差不多,611.70302
  45,  102,  1,女,18,0.518518518518518,差不多,518.09741
  46,  102,  1,女,5,0.518518518518518,差不多,558.39417
  47,  102,  1,女,5,0.518518518518518,差不多,626.64976
  48,  102,  1,女,251,0.518518518518518,差不多,575.60864
  49,  102,  1,女,63,0.518518518518518,差不多,521.43215
