"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"男" 304.81201 10.89898 13.48293 9.22591 285.99091 6.88421 12.9367 9.12286 7.56439 "初中"
"男" 498.4903 7.44727 7.30474 8.25602 496.11206 5.65807 4.2834 6.76777 8.3581 "高中"
"男" 589.85002 9.68014 8.82228 10.35323 529.5748 8.90441 8.6128 8.36075 7.56439 "初中"
"男" 518.63158 6.74882 7.70526 6.49606 488.16322 7.71018 7.81751 6.76777 9.03613 "高中"
"男" 505.88751 9.4964 8.57829 9.22591 512.63348 6.88421 7.61946 7.80038 8.3581 "高中"
"男" 473.22476 7.95043 6.48714 8.99736 470.33163 6.37614 4.2834 9.12286 8.3581 "初中"
"男" 503.07973 8.76139 6.90631 8.51577 469.0082 8.09896 7.61946 9.12286 9.64761 "初中"
"男" 468.26508 9.4964 7.70526 7.678 565.05053 6.88421 5.31763 6.63516 9.03613 "高中"
"男" 558.01006 10.45644 8.12441 9.89515 495.14504 7.9045 7.61946 6.313 9.64761 "大學以上"
"女" 468.83966 7.95043 6.01079 6.95612 427.17091 3.8465 4.2834 3.24992 10.23835 "大學以上"
"女" 536.85858 9.86638 7.30474 6.95612 543.22574 7.31154 7.81751 8.08863 9.64761 "高中"
"女" 481.05268 8.16805 7.30474 5.90622 465.20339 7.51243 7.81751 8.08863 9.03613 "初中"
"女" 443.4317 7.13627 8.12441 7.34181 398.09511 7.9045 9.02481 5.74112 10.23835 "高中"
"女" 539.38319 5.09484 6.7011 6.49606 502.21174 5.65807 6.99286 7.49248 9.03613 "初中"
"女" 642.86195 10.05658 7.91135 10.35323 585.82923 11.06414 8.6128 10.13014 8.3581 "高中"
"女" 609.17675 8.57095 9.35676 9.45004 570.17669 6.88421 6.20452 5.74112 10.23835 "大學以上"
"女" 626.53041 12.15847 8.57829 10.84951 544.15253 7.71018 6.99286 4.91876 8.3581 "初中"
"女" 763.27368 8.37412 9.65438 7.678 683.90421 8.295 9.89532 7.80038 11.48712 "大學以上"
"女" 513.04999 8.76139 7.91135 8.76168 577.58654 8.90441 9.23574 8.36075 10.84499 "專科"
"男" 613.66374 10.05658 7.91135 9.6723 536.84907 8.49394 8.41123 6.313 9.64761 "高中"
"男" 569.13906 8.37412 7.91135 6.95612 569.06745 8.295 8.01452 7.49248 8.3581 "高中"
"男" 761.91951 13.84849 7.50425 13.19086 672.3901 13.51778 9.23574 13.18921 11.48712 "大學以上"
"女" 621.8824 8.76139 6.90631 8.51577 634.07436 7.71018 7.61946 8.08863 9.03613 "初中"
"女" 685.22771 6.198 10.34734 6.49606 665.6105 6.06022 10.13091 3.24992 11.48712 "大學以上"
"男" 607.08019 8.94763 7.50425 9.6723 585.03501 7.9045 8.01452 8.08863 10.84499 "專科"
"男" 679.79845 10.05658 8.34615 10.12116 650.04529 9.81723 8.41123 9.61581 9.03613 "初中"
"女" 729.86241 10.45644 9.98068 10.35323 684.18247 8.90441 12.9367 4.91876 11.48712 "專科"
"女" 815.1341 11.75478 10.77308 12.59517 717.18403 10.36663 8.81725 8.36075 9.64761 "高中"
"女" 610.65052 7.13627 8.34615 7.97991 618.52798 8.295 9.45051 8.62122 12.25657 "大學以上"
"女" 617.89239 9.4964 7.50425 10.59469 581.88882 7.51243 8.21205 7.80038 12.25657 "大學以上"
