"學校" "班級" "學生" "性別" "家裡書量" "班級人數" "學校書量" "科學"
5001 500101 50010101 "男" 1 19 "多於2000" 285.99091
5001 500101 50010102 "男" 1 19 "多於2000" 496.11206
5001 500101 50010103 "男" 1 19 "多於2000" 424.57871
5001 500101 50010104 "男" 1 19 "多於2000" 529.5748
5001 500101 50010105 "男" 1 19 "多於2000" 488.16322
5001 500101 50010106 "男" 1 19 "多於2000" 512.63348
5001 500101 50010107 "男" 1 19 "多於2000" 470.33163
5001 500101 50010108 "男" 3 19 "多於2000" 469.0082
5001 500101 50010110 "男" 2 19 "多於2000" 480.1702
5001 500101 50010111 "男" 1 19 "多於2000" 565.05053
5001 500101 50010112 "男" 2 19 "多於2000" 495.14504
5001 500101 50010113 "女" 1 19 "多於2000" 427.17091
5001 500101 50010114 "女" 2 19 "多於2000" 543.22574
5001 500101 50010115 "女" 2 19 "多於2000" 465.20339
5001 500101 50010116 "女" 3 19 "多於2000" 398.09511
5001 500101 50010117 "女" 2 19 "多於2000" 486.50338
5001 500101 50010118 "女" 3 19 "多於2000" 502.21174
5001 500101 50010119 "女" 1 19 "多於2000" 585.82923
5002 500203 50020301 "女" 2 NA "多於2000" 570.17669
5002 500203 50020302 "女" 1 NA "多於2000" 544.15253
5002 500203 50020303 "女" 4 NA "多於2000" 683.90421
5002 500203 50020305 "女" 3 NA "多於2000" 577.58654
5002 500203 50020306 "男" 2 NA "多於2000" 536.84907
5002 500203 50020307 "男" 1 NA "多於2000" 569.06745
5002 500203 50020308 "男" 3 NA "多於2000" 672.3901
5002 500203 50020309 "女" 2 NA "多於2000" 634.07436
5002 500203 50020310 "女" 4 NA "多於2000" 665.6105
5002 500203 50020311 "男" 3 NA "多於2000" 585.03501
5002 500203 50020312 "男" 5 NA "多於2000" 305.90143
5002 500203 50020313 "男" 2 NA "多於2000" 650.04529
5002 500203 50020314 "女" 4 NA "多於2000" 684.18247
5002 500203 50020315 "女" 3 NA "多於2000" 717.18403
5002 500203 50020316 "女" 4 NA "多於2000" 618.52798
5002 500203 50020317 "女" 4 NA "多於2000" 581.88882
5002 500203 50020318 "男" 1 NA "多於2000" 544.89361
5002 500203 50020319 "男" 5 NA "多於2000" 668.79343
5002 500203 50020320 "男" 5 NA "多於2000" 573.25973
5002 500203 50020322 "女" 1 NA "多於2000" 524.02967
5002 500203 50020324 "女" 1 NA "多於2000" 483.96932
5002 500203 50020325 "女" 1 NA "多於2000" 627.39011
5002 500203 50020326 "男" 5 NA "多於2000" 620.23736
5002 500203 50020327 "女" 2 NA "多於2000" 595.91316
5002 500203 50020328 "女" 4 NA "多於2000" 692.11549
5003 500308 50030801 "男" 3 32 "不多於2000" 644.43818
5003 500308 50030802 "男" 1 32 "不多於2000" 540.38969
5003 500308 50030803 "男" 5 32 "不多於2000" 634.70659
5003 500308 50030804 "男" 4 32 "不多於2000" 624.13497
5003 500308 50030805 "男" 1 32 "不多於2000" 422.67409
5003 500308 50030806 "男" 5 32 "不多於2000" 626.96393
5003 500308 50030808 "男" 1 32 "不多於2000" 695.85647
5003 500308 50030809 "男" 2 32 "不多於2000" 706.93358
5003 500308 50030810 "男" 5 32 "不多於2000" 533.37299
5003 500308 50030811 "男" 4 32 "不多於2000" 485.69137
5003 500308 50030812 "男" 5 32 "不多於2000" 714.33123
5003 500308 50030813 "男" 4 32 "不多於2000" 614.56874
5003 500308 50030814 "男" 2 32 "不多於2000" 718.9462
5003 500308 50030815 "男" 4 32 "不多於2000" 704.15207
5003 500308 50030816 "男" 3 32 "不多於2000" 686.30245
5003 500308 50030817 "男" 5 32 "不多於2000" 699.96026
5003 500308 50030818 "女" 4 32 "不多於2000" 678.08046
5003 500308 50030819 "女" 3 32 "不多於2000" 599.79414
5003 500308 50030820 "女" 1 32 "不多於2000" 569.77469
5003 500308 50030821 "女" 3 32 "不多於2000" 677.7701
5003 500308 50030822 "女" 4 32 "不多於2000" 674.50508
5003 500308 50030823 "女" 3 32 "不多於2000" 522.35727
5003 500308 50030824 "女" 5 32 "不多於2000" 544.83267
5003 500308 50030825 "女" 1 32 "不多於2000" 610.36297
5003 500308 50030826 "女" 4 32 "不多於2000" 537.22595
5003 500308 50030827 "女" 5 32 "不多於2000" 631.83298
5003 500308 50030828 "女" 3 32 "不多於2000" 516.42085
5003 500308 50030829 "女" 5 32 "不多於2000" 538.00354
5003 500308 50030830 "女" 3 32 "不多於2000" 567.66762
5003 500308 50030831 "女" 4 32 "不多於2000" 634.94114
5003 500308 50030832 "女" 3 32 "不多於2000" 626.56438
5003 500308 50030833 "女" 3 32 "不多於2000" 598.76712
5004 500407 50040701 "男" 1 29 "多於2000" 626.50077
5004 500407 50040702 "男" 3 29 "多於2000" 572.25306
5004 500407 50040703 "男" 4 29 "多於2000" 441.78388
5004 500407 50040704 "男" 1 29 "多於2000" 596.51202
5004 500407 50040705 "男" 3 29 "多於2000" 602.87951
5004 500407 50040706 "男" 2 29 "多於2000" 522.15773
5004 500407 50040707 "男" 4 29 "多於2000" 674.02319
5004 500407 50040708 "男" 1 29 "多於2000" 373.16193
5004 500407 50040709 "男" 1 29 "多於2000" 622.54862
5004 500407 50040710 "男" 3 29 "多於2000" 617.63469
